"region","date","value"
"Clay County,FL","10",0.0666666666666667
"Columbia County,FL","10",0.114649681528662
"Pinellas County,FL","10",0
"Pasco County,FL","10",0
"Osceola County,FL","10",0.327586206896552
"Orange County,FL","10",0.027027027027027
"Putnam County,FL","10",NA
"Alachua County,FL","10",0.114285714285714
"Volusia County,FL","10",0.138461538461538
"Leon County,FL","10",0.405405405405405
"St. Johns County,FL","10",0.0272727272727273
"Miami-Dade County,FL","10",0
"Palm Beach County,FL","10",0
"Broward County,FL","10",0
"Martin County,FL","10",0
"Sumter County,FL","10",0
"Hernando County,FL","10",0
"Collier County,FL","10",0
"Lee County,FL","10",0
"Bay County,FL","10",0
"Indian River County,FL","10",0
"Marion County,FL","10",0
"St. Lucie County,FL","10",0
"Seminole County,FL","10",0
"Charlotte County,FL","10",0
"Citrus County,FL","10",0
"Brevard County,FL","10",0
"Sarasota County,FL","10",0
"Manatee County,FL","10",0
"Polk County,FL","10",0
"Nassau County,FL","10",0
"NULL,FL","10",0
"Flagler County,FL","10",0
"Lake County,FL","10",0
"Hillsborough County,FL","11",0.0160642570281124
"Duval County,FL","11",0.145161290322581
"Clay County,FL","11",0.0666666666666667
"Columbia County,FL","11",0.152866242038217
"Pinellas County,FL","11",0
"Pasco County,FL","11",0.0158730158730159
"Osceola County,FL","11",0.224137931034483
"Orange County,FL","11",0.0405405405405405
"Putnam County,FL","11",NA
"Alachua County,FL","11",0.0571428571428571
"Volusia County,FL","11",0.0769230769230769
"Leon County,FL","11",0.486486486486487
"St. Johns County,FL","11",0.00909090909090909
"Miami-Dade County,FL","11",0.0411985018726592
"Palm Beach County,FL","11",0
"Broward County,FL","11",0
"Martin County,FL","11",0
"Sumter County,FL","11",0
"Hernando County,FL","11",0
"Collier County,FL","11",0
"Lee County,FL","11",0
"Bay County,FL","11",0
"Indian River County,FL","11",0
"Marion County,FL","11",0
"St. Lucie County,FL","11",0
"Seminole County,FL","11",0
"Charlotte County,FL","11",0
"Citrus County,FL","11",0
"Brevard County,FL","11",0
"Sarasota County,FL","11",0
"Manatee County,FL","11",0
"Polk County,FL","11",0
"Nassau County,FL","11",0
"NULL,FL","11",0
"Flagler County,FL","11",0
"Lake County,FL","11",0
"Hillsborough County,FL","12",0.00803212851405622
"Duval County,FL","12",0.0483870967741935
"Clay County,FL","12",0.0666666666666667
"Columbia County,FL","12",0.114649681528662
"Pinellas County,FL","12",0
"Pasco County,FL","12",0.0158730158730159
"Osceola County,FL","12",0.293103448275862
"Orange County,FL","12",0.153153153153153
"Putnam County,FL","12",NA
"Alachua County,FL","12",0.0285714285714286
"Volusia County,FL","12",0.0769230769230769
"Leon County,FL","12",0.306306306306306
"St. Johns County,FL","12",0.00909090909090909
"Miami-Dade County,FL","12",0.0898876404494382
"Palm Beach County,FL","12",0.0140845070422535
"Broward County,FL","12",0.0909090909090909
"Martin County,FL","12",0
"Sumter County,FL","12",0
"Hernando County,FL","12",0
"Collier County,FL","12",0
"Lee County,FL","12",0
"Bay County,FL","12",0
"Indian River County,FL","12",0
"Marion County,FL","12",0
"St. Lucie County,FL","12",0
"Seminole County,FL","12",0
"Charlotte County,FL","12",0
"Citrus County,FL","12",0
"Brevard County,FL","12",0
"Sarasota County,FL","12",0
"Manatee County,FL","12",0
"Polk County,FL","12",0
"Nassau County,FL","12",0
"NULL,FL","12",0
"Flagler County,FL","12",0
"Lake County,FL","12",0
"Hillsborough County,FL","13",0
"Duval County,FL","13",0.145161290322581
"Clay County,FL","13",0.0666666666666667
"Columbia County,FL","13",0.191082802547771
"Pinellas County,FL","13",0
"Pasco County,FL","13",0.0158730158730159
"Osceola County,FL","13",0.385057471264368
"Orange County,FL","13",0.121621621621622
"Putnam County,FL","13",NA
"Alachua County,FL","13",0.114285714285714
"Volusia County,FL","13",0.169230769230769
"Leon County,FL","13",0.117117117117117
"St. Johns County,FL","13",0.0818181818181818
"Miami-Dade County,FL","13",0
"Palm Beach County,FL","13",0
"Broward County,FL","13",0.0909090909090909
"Martin County,FL","13",1
"Sumter County,FL","13",1
"Hernando County,FL","13",1
"Collier County,FL","13",0
"Lee County,FL","13",0
"Bay County,FL","13",0
"Indian River County,FL","13",0
"Marion County,FL","13",0
"St. Lucie County,FL","13",0
"Seminole County,FL","13",0
"Charlotte County,FL","13",0
"Citrus County,FL","13",0
"Brevard County,FL","13",0
"Sarasota County,FL","13",0
"Manatee County,FL","13",0
"Polk County,FL","13",0
"Nassau County,FL","13",0
"NULL,FL","13",0
"Flagler County,FL","13",0
"Lake County,FL","13",0
"Hillsborough County,FL","14",0
"Duval County,FL","14",0
"Clay County,FL","14",0
"Columbia County,FL","14",0.197452229299363
"Pinellas County,FL","14",0.00956937799043062
"Pasco County,FL","14",0.0158730158730159
"Osceola County,FL","14",0.189655172413793
"Orange County,FL","14",0.0720720720720721
"Putnam County,FL","14",NA
"Alachua County,FL","14",0.0571428571428571
"Volusia County,FL","14",0.0923076923076923
"Leon County,FL","14",0.135135135135135
"St. Johns County,FL","14",0.0181818181818182
"Miami-Dade County,FL","14",0
"Palm Beach County,FL","14",0.0422535211267606
"Broward County,FL","14",0
"Martin County,FL","14",0
"Sumter County,FL","14",0.5
"Hernando County,FL","14",0
"Collier County,FL","14",0.00757575757575758
"Lee County,FL","14",0
"Bay County,FL","14",0
"Indian River County,FL","14",0
"Marion County,FL","14",0
"St. Lucie County,FL","14",0
"Seminole County,FL","14",0
"Charlotte County,FL","14",0
"Citrus County,FL","14",0
"Brevard County,FL","14",0
"Sarasota County,FL","14",0
"Manatee County,FL","14",0
"Polk County,FL","14",0
"Nassau County,FL","14",0
"NULL,FL","14",0
"Flagler County,FL","14",0
"Lake County,FL","14",0
"Hillsborough County,FL","15",0.00401606425702811
"Duval County,FL","15",0.290322580645161
"Clay County,FL","15",0.2
"Columbia County,FL","15",0.127388535031847
"Pinellas County,FL","15",0
"Pasco County,FL","15",0.0158730158730159
"Osceola County,FL","15",0.201149425287356
"Orange County,FL","15",0.117117117117117
"Putnam County,FL","15",NA
"Alachua County,FL","15",0.0857142857142857
"Volusia County,FL","15",0.0615384615384615
"Leon County,FL","15",0.045045045045045
"St. Johns County,FL","15",0.0545454545454545
"Miami-Dade County,FL","15",0
"Palm Beach County,FL","15",0.0140845070422535
"Broward County,FL","15",0
"Martin County,FL","15",0
"Sumter County,FL","15",0
"Hernando County,FL","15",0
"Collier County,FL","15",0
"Lee County,FL","15",0.00917431192660551
"Bay County,FL","15",0.166666666666667
"Indian River County,FL","15",0.333333333333333
"Marion County,FL","15",0
"St. Lucie County,FL","15",0
"Seminole County,FL","15",0
"Charlotte County,FL","15",0
"Citrus County,FL","15",0
"Brevard County,FL","15",0
"Sarasota County,FL","15",0
"Manatee County,FL","15",0
"Polk County,FL","15",0
"Nassau County,FL","15",0
"NULL,FL","15",0
"Flagler County,FL","15",0
"Lake County,FL","15",0
"Hillsborough County,FL","16",0
"Duval County,FL","16",0.548387096774194
"Clay County,FL","16",0.133333333333333
"Columbia County,FL","16",0.197452229299363
"Pinellas County,FL","16",0
"Pasco County,FL","16",0
"Osceola County,FL","16",0.172413793103448
"Orange County,FL","16",0.0630630630630631
"Putnam County,FL","16",NA
"Alachua County,FL","16",0.0857142857142857
"Volusia County,FL","16",0.0923076923076923
"Leon County,FL","16",0.0540540540540541
"St. Johns County,FL","16",0.0727272727272727
"Miami-Dade County,FL","16",0.0112359550561798
"Palm Beach County,FL","16",0.028169014084507
"Broward County,FL","16",0.0454545454545455
"Martin County,FL","16",0
"Sumter County,FL","16",0.25
"Hernando County,FL","16",0
"Collier County,FL","16",0
"Lee County,FL","16",0
"Bay County,FL","16",0
"Indian River County,FL","16",0
"Marion County,FL","16",1
"St. Lucie County,FL","16",1
"Seminole County,FL","16",0.00775193798449612
"Charlotte County,FL","16",0.0043859649122807
"Citrus County,FL","16",1
"Brevard County,FL","16",0
"Sarasota County,FL","16",0
"Manatee County,FL","16",0
"Polk County,FL","16",0
"Nassau County,FL","16",0
"NULL,FL","16",0
"Flagler County,FL","16",0
"Lake County,FL","16",0
"Hillsborough County,FL","17",0
"Duval County,FL","17",0.32258064516129
"Clay County,FL","17",0.0666666666666667
"Columbia County,FL","17",0.280254777070064
"Pinellas County,FL","17",0
"Pasco County,FL","17",0
"Osceola County,FL","17",0.189655172413793
"Orange County,FL","17",0.126126126126126
"Putnam County,FL","17",NA
"Alachua County,FL","17",0.0571428571428571
"Volusia County,FL","17",0.107692307692308
"Leon County,FL","17",0.0540540540540541
"St. Johns County,FL","17",0.0454545454545455
"Miami-Dade County,FL","17",0
"Palm Beach County,FL","17",0
"Broward County,FL","17",0
"Martin County,FL","17",0
"Sumter County,FL","17",0
"Hernando County,FL","17",0
"Collier County,FL","17",0
"Lee County,FL","17",0
"Bay County,FL","17",0
"Indian River County,FL","17",0
"Marion County,FL","17",0
"St. Lucie County,FL","17",0
"Seminole County,FL","17",0
"Charlotte County,FL","17",0
"Citrus County,FL","17",0
"Brevard County,FL","17",0
"Sarasota County,FL","17",0
"Manatee County,FL","17",0
"Polk County,FL","17",0
"Nassau County,FL","17",0
"NULL,FL","17",0
"Flagler County,FL","17",0
"Lake County,FL","17",0
"Hillsborough County,FL","18",0
"Duval County,FL","18",0.435483870967742
"Clay County,FL","18",0.266666666666667
"Columbia County,FL","18",0.318471337579618
"Pinellas County,FL","18",0
"Pasco County,FL","18",0
"Osceola County,FL","18",0.137931034482759
"Orange County,FL","18",0.211711711711712
"Putnam County,FL","18",NA
"Alachua County,FL","18",0.0857142857142857
"Volusia County,FL","18",0.123076923076923
"Leon County,FL","18",0.018018018018018
"St. Johns County,FL","18",0.0545454545454545
"Miami-Dade County,FL","18",0
"Palm Beach County,FL","18",0
"Broward County,FL","18",0
"Martin County,FL","18",0
"Sumter County,FL","18",0
"Hernando County,FL","18",0
"Collier County,FL","18",0
"Lee County,FL","18",0
"Bay County,FL","18",0
"Indian River County,FL","18",0
"Marion County,FL","18",0
"St. Lucie County,FL","18",0
"Seminole County,FL","18",0
"Charlotte County,FL","18",0
"Citrus County,FL","18",0
"Brevard County,FL","18",0
"Sarasota County,FL","18",0
"Manatee County,FL","18",0
"Polk County,FL","18",0
"Nassau County,FL","18",0
"NULL,FL","18",0
"Flagler County,FL","18",0
"Lake County,FL","18",0
"Hillsborough County,FL","19",0
"Duval County,FL","19",0.370967741935484
"Clay County,FL","19",0.266666666666667
"Columbia County,FL","19",0.312101910828025
"Pinellas County,FL","19",0
"Pasco County,FL","19",0
"Osceola County,FL","19",0.235632183908046
"Orange County,FL","19",0.225225225225225
"Putnam County,FL","19",NA
"Alachua County,FL","19",0.0571428571428571
"Volusia County,FL","19",0.215384615384615
"Leon County,FL","19",0.0540540540540541
