"zips","lon","lat"
"60062",-87.8451527,42.1272261
"60071",-88.314212,42.4699234
"60073",-88.0899304,42.3612999
"60085",-87.8647961,42.3641878
"60099",-87.8451527,42.4424515
"60101",-88.0020589,41.9320859
"60106",-87.9432837,41.9508814
"60118",-88.314212,42.0955139
"60120",-88.2558525,42.0352856
"60133",-88.1437782,41.9790639
"60173",-88.0460894,42.0467637
"60182",-88.1994665,41.5447443
"60185",-88.2169027,41.8959291
"60193",-88.099845,42.0130165
"60477",-87.7861711,41.5699614
"60521",-87.9285777,41.7967461
"60610",-87.6333871,41.9003099
"60611",-87.6161696,41.8925085
"60615",-87.603826,41.8003921
"60622",-87.6827676,41.9013087
"60623",-87.7271123,41.8475982
"60625",-87.7024817,41.9711068
"60631",-87.8107561,41.993029
"60640",-87.663045,41.9703133
"60641",-87.7468071,41.9472058
"60642",-87.6531805,41.9007097
"60657",-87.6531805,41.9403795
"60936",-88.3433623,40.4805326
"60957",-88.148657,40.4368639
"61068",-89.0561532,41.9554587
"61270",-89.9626799,41.8004348
"61741",-88.4210006,40.7658992
"61853",-88.4210006,40.2368389
"62233",-89.8317729,37.9571505
"62901",-89.2148386,37.7277751
"63132",-90.3795438,38.6785807
"64064",-94.3667907,38.9791799
"64068",-94.3770704,39.2593487
"64153",-94.6754274,39.2810821
"6473",-94.8808715,30.1090264
"6484",-122.7613837,45.5868355
"64854",-94.4593791,36.5478436
"64870",-94.5108862,37.1794866
"6516",-157.8433034,21.291227
"65201",-92.332541,38.951674
"65203",-92.3714428,38.9538484
"65712",-93.8044831,37.1293121
"65714",-93.318747,37.0581529
"65742",-93.0776568,37.1503472
"65803",-93.2986106,37.294172
"66049",-95.3730176,38.9684867
"66203",-94.70189,39.0234301
"66224",-94.6347041,38.8646537
"66441",-96.8779926,38.9934413
"66502",-96.5356449,39.0961493
"66611",-95.6931356,39.0105228
"67460",-97.654811,38.3611897
"67502",-97.9374948,38.1116209
"67505",-97.9429421,38.032412
"68046",-96.0573302,41.1319017
"68117",-95.9991228,41.2101217
"68124",-96.0520363,41.2373947
"68130",-96.2004383,41.2395091
"68131",-95.9647536,41.2644695
"68310",-96.7922355,40.232159
"70462",-90.5825359,30.3653182
"70508",-92.037116,30.154741
"70517",-91.7344155,30.3090469
"7059",-121.916011,37.69939
"70601",-93.2131232,30.2293526
"70605",-93.2784825,30.1412524
"70611",-93.2181477,30.3502213
"70663",-93.3993751,30.2765349
"70722",-90.9438468,30.8464719
"70726",-90.8865834,30.4097215
"70748",-91.2025207,30.8328549
"70754",-90.7342734,30.410662
"70777",-91.0490374,30.7422701
"70808",-91.1448981,30.4192451
"71105",-93.7079745,32.4545928
"71303",-92.5197932,31.3066755
"71671",-92.1057549,33.6444761
"71822",-94.1104449,33.6836358
"71854",-93.8858955,33.444928
"72023",-92.0469151,34.9555346
"72034",-92.4703057,35.0468028
"72210",-92.5098914,34.7151821
"72211",-92.4159308,34.7446913
"72653",-92.341887,36.283619
"72701",-94.0899911,35.9980929
"72703",-94.0388918,36.1192532
"72704",-94.3359635,36.1197444
"72712",-94.2128337,36.3840171
"72734",-94.5418141,36.2854705
"72736",-94.5005808,36.4167732
"72745",-94.100217,36.2472546
"72753",-94.3359635,35.9460068
"72761",-94.4593791,36.1585967
"72764",-94.0491077,36.1731365
"72801",-93.1428341,35.2785177
"72830",-93.5205641,35.492719
"72900",-123.513229,46.995978
"72903",-94.3667907,35.3447622
"72904",-94.387352,35.4097046
"72936",-94.2128337,35.2077035
"72956",-94.3359635,35.4662541
"73003",-97.4976536,35.6655009
"73013",-97.5138947,35.6264403
"73065",-97.5897372,35.2620934
"73071",-97.4056928,35.2407401
"73099",-97.7416703,35.5358639
"73111",-97.4760047,35.5145487
"73112",-97.5788975,35.5135639
"73115",-97.4435441,35.4402994
"73130",-97.3462545,35.4571641
"73160",-97.4705935,35.3459327
"73162",-97.6385368,35.5805299
"73170",-97.5572231,35.3187169
"73505",-98.5062007,34.631685
"73644",-99.4117197,35.4168123
"73703",-97.9374948,36.4533112
"74006",-95.8775964,36.7017377
"74008",-95.8775964,35.9239917
"74019",-95.6668306,36.2375431
"74055",-95.8353837,36.2726958
"74066",-96.1314928,35.9980959
"74074",-97.1144039,36.0737703
"74104",-95.956825,36.142324
"74105",-95.9726832,36.1036376
"74129",-95.85121,36.1258713
"74133",-95.8881542,36.0428053
"74135",-95.9251211,36.1005816
"74137",-95.9304039,36.0190424
"74344",-94.7484518,36.5798297
"74361",-95.3311652,36.2962095
"74429",-95.6352801,35.9464556
"74432",-95.6037465,35.3048061
"74804",-96.9423844,35.38837
"75023",-96.733343,33.0603809
"75024",-96.8083063,33.0787152
"75029",-97.0237605,33.0440443
"75032",-96.418385,32.858216
